ubicacion,TOTAL_PROCESOS,coordenadas
"LOS PALMITOS, SUCRE",14,"Los Palmitos, Sabanas, Sucre, RAP Caribe, Colombia"
"LOS PATIOS, NORTE DE SANTANDER",337,"Los Patios, Oriental, Norte de Santander, RAP Gran Santander, 541010, Colombia"
"LOS SANTOS, SANTANDER",21,"Los Santos, Metropolitana, Santander, RAP Gran Santander, Colombia"
"LOURDES, NORTE DE SANTANDER",8,"Lourdes, Centro, Norte de Santander, RAP Gran Santander, Colombia"
"LURUACO, ATLÁNTICO",17,"Luruaco, Atlántico, RAP Caribe, 080032, Colombia"
"LÉRIDA, TOLIMA",53,"Lérida, Nevados, Tolima, RAP (Especial) Central, Colombia"
"LÍBANO, TOLIMA",97,"Líbano, Nevados, Tolima, RAP (Especial) Central, 731040, Colombia"
"LÓPEZ, CAUCA",2,"López, Pacífico, Cauca, RAP Pacífico, Colombia"
"MACANAL, BOYACA",6,"Macanal, Neira, Boyacá, RAP (Especial) Central, 152840, Colombia"
"MACARAVITA, SANTANDER",1,"Macaravita, García Rovira, Santander, RAP Gran Santander, Colombia"
"MACEO, ANTIOQUIA",7,"Maceo, Magdalena Medio, Antioquia, RAP del Agua y la Montaña, Colombia"
"MACHETA, CUNDINAMARCA",14,"Drogueria Macheta, Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena, Surala, Machetá, Almeidas, RAP (Especial) Central, 250840, Colombia"
"MADRID, CUNDINAMARCA",781,"Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"MAGANGUÉ, BOLÍVAR",158,"Magangué, Mojana, Bolívar, RAP Caribe, Colombia"
"MAGÜI, NARIÑO",1,"Magüi, Ricaurte, Pie de Monte Costero, Nariño, RAP Pacífico, Colombia"
"MAHATES, BOLÍVAR",13,"Mahates, Dique, Bolívar, RAP Caribe, Colombia"
"MAICAO, LA GUAJIRA",119,"Maicao, La Guajira, RAP Caribe, 442001, Colombia"
"MAJAGUAL, SUCRE",12,"Majagual, La Mojana, Sucre, RAP Caribe, Colombia"
"MALAMBO, ATLÁNTICO",172,"Malambo, Atlántico, RAP Caribe, 083010, Colombia"
"MALLAMA, NARIÑO",5,"Mallama, Pie de Monte Costero, Nariño, RAP Pacífico, Colombia"
"MANATÍ, ATLÁNTICO",10,"Manatí, Atlántico, RAP Caribe, 085020, Colombia"
"MANAURE, CESAR",13,"Manaure Balcón del Cesar, Cesar, RAP Caribe, Colombia"
"MANAURE, LA GUAJIRA",12,"Manaure, La Guajira, RAP Caribe, Colombia"
"MANIZALES, CALDAS",2093,"Manizales, Centrosur, Caldas, RAP del Agua y la Montaña, Colombia"
"MANTA, CUNDINAMARCA",1,"Manta, Almeidas, RAP (Especial) Central, Colombia"
"MANZANARES, CALDAS",10,"Manzanares, Alto Oriente, Caldas, RAP del Agua y la Montaña, Colombia"
"MANÍ, CASANARE",17,"Maní, Casanare, RAP Llanos, Colombia"
"MAPIRIPÁN, META",2,"Mapiripán, Ariari, Meta, RAP (Especial) Central, Colombia"
"MARGARITA, BOLÍVAR",4,"Margarita, Isla de Mompós, Bolívar, RAP Caribe, Colombia"
"MARINILLA, ANTIOQUIA",197,"Marinilla, Oriente, Antioquia, RAP del Agua y la Montaña, 054020, Colombia"
"MARIPÍ, BOYACA",6,"Maripí, Occidente, Boyacá, RAP (Especial) Central, 154820, Colombia"
"MARIQUITA, TOLIMA",146,"Mariquita, Norte, Tolima, RAP (Especial) Central, Colombia"
"MARMATO, CALDAS",16,"Marmato, Alto Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"MARQUETALIA, CALDAS",25,"Marquetalia, Alto Oriente, Caldas, RAP del Agua y la Montaña, Colombia"
"MARSELLA, RISARALDA",19,"Marsella, Risaralda, RAP Eje Cafetero, Colombia"
"MARULANDA, CALDAS",5,"Marulanda, Alto Oriente, Caldas, RAP del Agua y la Montaña, Colombia"
"MARÍA LA BAJA, BOLÍVAR",25,"María la Baja, Dique, Bolívar, RAP Caribe, Colombia"
"MATANZA, SANTANDER",3,"Matanza, Soto Norte, Santander, RAP Gran Santander, Colombia"
"MEDELLÍN, ANTIOQUIA",19058,"Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 0500, Colombia"
"MEDINA, CUNDINAMARCA",15,"Medina, Cundinamarca, RAP (Especial) Central, Colombia"
"MEDIO ATRATO, CHOCÓ",1,"Medio Atrato (Beté), Atrato, Chocó, RAP Pacífico, Colombia"
"MEDIO SAN JUAN, CHOCÓ",2,"Medio San Juan, San Juan, Chocó, RAP Pacífico, Colombia"
"MELGAR, TOLIMA",228,"Melgar, Oriente, Tolima, RAP Eje Cafetero, 734001, Colombia"
"MERCADERES, CAUCA",18,"Mercaderes, Sur del Cauca, Cauca, RAP Pacífico, Colombia"
"MESETAS, META",19,"Mesetas, Ariari, Meta, RAP (Especial) Central, Colombia"
"MILÁN, CAQUETÁ",8,"Milán, Caquetá, RAP Amazonía, Colombia"
"MIRAFLORES, BOYACA",14,"Miraflores, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"MIRANDA, CAUCA",93,"Miranda, Norte, Cauca, RAP Pacífico, 191520, Colombia"
"MISTRATÓ, RISARALDA",12,"Mistrató, Vertiente Pacífico, Risaralda, RAP Eje Cafetero, Colombia"
"MITÚ, VAUPÉS",37,"Mitú, Vaupés, RAP Amazonía, Colombia"
"MOCOA, PUTUMAYO",216,"Mocoa, Putumayo, RAP Amazonía, 860001, Colombia"
"MOGOTES, SANTANDER",8,"Mogotes, Guanentá, Santander, RAP Gran Santander, Colombia"
"MOLAGAVITA, SANTANDER",2,"Molagavita, García Rovira, Santander, RAP Gran Santander, Colombia"
"MOMIL, CÓRDOBA",16,"Momil, Bajo Sínú, Córdoba, RAP Caribe, Colombia"
"MOMPÓS, BOLÍVAR",53,"Santa Cruz de Mompox, Isla de Mompós, Bolívar, RAP Caribe, 132560, Colombia"
"MONGUÍ, BOYACA",6,"Monguí, Sugamuxi, Boyacá, RAP (Especial) Central, Colombia"
"MONIQUIRÁ, BOYACA",59,"Moniquirá, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"MONTEBELLO, ANTIOQUIA",7,"Montebello, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"MONTECRISTO, BOLÍVAR",2,"Montecristo, Mojana, Bolívar, RAP Caribe, Colombia"
"MONTELÍBANO, CÓRDOBA",94,"Montelíbano, San Jorge, Córdoba, RAP Caribe, Colombia"
"MONTENEGRO, QUINDÍO",63,"Montenegro, Valle, Quindío, RAP Eje Cafetero, 633001, Colombia"
"MONTERREY, CASANARE",38,"Monterrey, Casanare, RAP Llanos, 855010, Colombia"
"MONTERÍA, CÓRDOBA",2055,"Montería, Córdoba, RAP Caribe, Colombia"
"MORALES, BOLÍVAR",9,"Morales, Bolívar, RAP Caribe, 730003, Colombia"
"MORALES, CAUCA",12,"Morales, Centro, Cauca, RAP Pacífico, 190559, Colombia"
"MORELIA, CAQUETÁ",3,"Morelia, Caquetá, RAP Amazonía, Colombia"
"MORROA, SUCRE",23,"Morroa, Montes de María, Sucre, RAP Caribe, Colombia"
"MOSQUERA, CUNDINAMARCA",923,"Mosquera, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"MOSQUERA, NARIÑO",3,"Mosquera, Sanquianga, Nariño, RAP Pacífico, Colombia"
"MOTAVITA, BOYACA",7,"Motavita, Centro, Boyacá, RAP (Especial) Central, 154080, Colombia"
"MOÑITOS, CÓRDOBA",16,"Moñitos, Costanera, Córdoba, RAP Caribe, 231001, Colombia"
"MURILLO, TOLIMA",4,"Murillo, Nevados, Tolima, RAP (Especial) Central, Colombia"
"MURINDÓ, ANTIOQUIA",4,"Murindó, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
"MUTATÁ, ANTIOQUIA",17,"Mutatá, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
"MUTISCUA, NORTE DE SANTANDER",6,"Mutiscua, Suroccidente, Norte de Santander, RAP Gran Santander, Colombia"
"MUZO, BOYACA",11,"Muzo, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"MÁLAGA, SANTANDER",53,"Málaga, García Rovira, Santander, RAP Gran Santander, Colombia"
"NARIÑO, ANTIOQUIA",6,"Nariño, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"NARIÑO, CUNDINAMARCA",4,"Nariño, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"NARIÑO, NARIÑO",23,"Nariño, Centro, Nariño, RAP Pacífico, Colombia"
"NATAGAIMA, TOLIMA",30,"Natagaima, Sur, Tolima, RAP (Especial) Central, Colombia"
"NECHÍ, ANTIOQUIA",12,"Nechí, Bajo Cauca, Antioquia, RAP del Agua y la Montaña, Colombia"
"NECOCLÍ, ANTIOQUIA",30,"Necoclí, Urabá, Antioquia, RAP del Agua y la Montaña, 057870, Colombia"
"NEIRA, CALDAS",29,"Neira, Centrosur, Caldas, RAP del Agua y la Montaña, 171001, Colombia"
"NEIVA, HUILA",2721,"Neiva, Norte, Huila, RAP (Especial) Central, Colombia"
"NEMOCÓN, CUNDINAMARCA",27,"Nemocón, Sabana Centro, RAP (Especial) Central, Colombia"
"NILO, CUNDINAMARCA",85,"Nilo, Alto Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"NIMAIMA, CUNDINAMARCA",6,"Nimaima, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"NOBSA, BOYACA",33,"Nobsa, Sugamuxi, Boyacá, RAP (Especial) Central, Colombia"
"NOCAIMA, CUNDINAMARCA",27,"Nocaima, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"NORCASIA, CALDAS",10,"Norcasia, Magdalena Caldense, Caldas, RAP del Agua y la Montaña, 175001, Colombia"
"NUEVA GRANADA, MAGDALENA",10,"Nueva Granada (Granada), Magdalena, RAP Caribe, Colombia"
"NUEVO COLÓN, BOYACA",7,"Nuevo Colón, Márquez, Boyacá, RAP (Especial) Central, Colombia"
"NUNCHÍA, CASANARE",8,"Nunchía, Casanare, RAP Llanos, Colombia"
"NUQUÍ, CHOCÓ",12,"Nuquí, Pacífico Norte, Chocó, RAP Pacífico, 276058, Colombia"
"NÁTAGA, HUILA",7,"Nátaga, Occidente, Huila, RAP (Especial) Central, Colombia"
"NÓVITA, CHOCÓ",9,"Nóvita, San Juan, Chocó, RAP Pacífico, Colombia"
"OBANDO, VALLE DEL CAUCA",12,"Obando, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"OCAMONTE, SANTANDER",2,"Ocamonte, Guanentá, Santander, RAP Gran Santander, Colombia"
"OCANA, NORTE DE SANTANDER",297,"Ocaña, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"OIBA, SANTANDER",22,"Oiba, Comunera, Santander, RAP Gran Santander, Colombia"
"OICATÁ, BOYACA",9,"Oicatá, Centro, Boyacá, RAP (Especial) Central, Colombia"
"OLAYA HERRERA, NARIÑO",1,"Olaya Herrera (Bocas de Satinga), Sanquianga, Nariño, RAP Pacífico, Colombia"
"OLAYA, ANTIOQUIA",4,"Olaya, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"ONZAGA, SANTANDER",5,"Onzaga, Santander, RAP Gran Santander, Colombia"
"OPORAPA, HUILA",9,"Oporapa, Sur, Huila, RAP (Especial) Central, Colombia"
"ORITO, PUTUMAYO",66,"Orito, Putumayo, RAP Amazonía, Colombia"
"OROCUÉ, CASANARE",10,"Orocué, Casanare, RAP Llanos, 853050, Colombia"
"ORTEGA, TOLIMA",31,"Ortega, Sur, Tolima, RAP (Especial) Central, Colombia"
"OSPINA, NARIÑO",6,"Ospina, La Sabana, Nariño, RAP Pacífico, Colombia"
"OTANCHE, BOYACA",14,"Otanche, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"OVEJAS, SUCRE",22,"Ovejas, Montes de María, Sucre, RAP Caribe, Colombia"
"PACHAVITA, BOYACA",5,"Pachavita, Neira, Boyacá, RAP (Especial) Central, Colombia"
"PACHO, CUNDINAMARCA",62,"Pacho, Provincia de Rionegro, Cundinamarca, RAP (Especial) Central, 254001, Colombia"
"PADILLA, CAUCA",20,"Padilla, Norte, Cauca, RAP Pacífico, Colombia"
"PAEZ, CAUCA",16,"Paez, Norte, Cauca, RAP Pacífico, Colombia"
"PAICOL, HUILA",4,"Paicol, Occidente, Huila, RAP (Especial) Central, Colombia"
"PAILITAS, CESAR",19,"Pailitas, Cesar, RAP Caribe, Colombia"
"PAIME, CUNDINAMARCA",3,"Paime, Provincia de Rionegro, Cundinamarca, RAP (Especial) Central, Colombia"
"PAIPA, BOYACA",100,"Paipa, Tundama, Boyacá, RAP (Especial) Central, Colombia"
"PAJARITO, BOYACA",3,"Pajarito, La Libertad, Boyacá, RAP (Especial) Central, Colombia"
"PALERMO, HUILA",60,"Palermo, Norte, Huila, RAP (Especial) Central, Colombia"
"PALESTINA, CALDAS",21,"Palestina, Centrosur, Caldas, RAP del Agua y la Montaña, Colombia"
"PALESTINA, HUILA",12,"Palestina, Sur, Huila, RAP (Especial) Central, Colombia"
"PALMAR DE VARELA, ATLÁNTICO",27,"Palmar de Varela, Atlántico, RAP Caribe, Colombia"
"PALMAS DEL SOCORRO, SANTANDER",2,"Palmas del Socorro, Comunera, Santander, RAP Gran Santander, Colombia"
"PALMIRA, VALLE DEL CAUCA",1817,"Palmira, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"PALMITO, SUCRE",1,"San Antonio de Palmito, Morrosquillo, Sucre, RAP Caribe, Colombia"
"PALOCABILDO, TOLIMA",14,"Palocabildo, Norte, Tolima, RAP (Especial) Central, Colombia"
"PAMPLONA, NORTE DE SANTANDER",301,"Pamplona, Suroccidente, Norte de Santander, RAP Gran Santander, Colombia"
"PAMPLONITA, NORTE DE SANTANDER",4,"Pamplonita, Suroccidente, Norte de Santander, RAP Gran Santander, Colombia"
"PANDI, CUNDINAMARCA",19,"Pandi, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"PANQUEBA, BOYACA",1,"Panqueba, Gutiérrez, Boyacá, RAP (Especial) Central, 151430, Colombia"
"PARATEBUENO, CUNDINAMARCA",24,"Paratebueno, Medina, Cundinamarca, RAP (Especial) Central, Colombia"
"PASCA, CUNDINAMARCA",17,"Pasca, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"PASTO, NARIÑO",2409,"Perímetro Urbano Pasto, Pasto, Centro, Nariño, RAP Pacífico, Colombia"
"PATÍA, CAUCA",60,"Patía, Sur del Cauca, Cauca, RAP Pacífico, Colombia"
"PAUNA, BOYACA",13,"Pauna, Occidente, Boyacá, RAP (Especial) Central, 154801, Colombia"
"PAZ DE ARIPORO, CASANARE",65,"Paz de Ariporo, Casanare, RAP Llanos, Colombia"
"PAZ DE RÍO, BOYACA",7,"Paz de Río, Valderrama, Boyacá, RAP (Especial) Central, Colombia"
"PEDRAZA, MAGDALENA",2,"Pedraza, Magdalena, RAP Caribe, Colombia"
"PELAYA, CESAR",20,"Pelaya, Cesar, RAP Caribe, Colombia"
"PENSILVANIA, CALDAS",15,"Pensilvania, Alto Oriente, Caldas, RAP del Agua y la Montaña, 173069, Colombia"
"PEQUE, ANTIOQUIA",5,"Peque, Occidente, Antioquia, RAP del Agua y la Montaña, 057010, Colombia"
"PEREIRA, RISARALDA",4064,"Pereira, Risaralda, RAP Eje Cafetero, Colombia"
"PESCA, BOYACA",7,"Pesca, Sugamuxi, Boyacá, RAP (Especial) Central, 152469, Colombia"
"PEÑOL, ANTIOQUIA",32,"El Peñol, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"PIAMONTE, CAUCA",10,"Piamonte, Piedemonte Amazónico, Cauca, RAP Pacífico, Colombia"
"PIEDECUESTA, SANTANDER",577,"Piedecuesta, Santander, RAP Gran Santander, 681011, Colombia"
"PIEDRAS, TOLIMA",6,"Piedras, Centro, Tolima, RAP (Especial) Central, Colombia"
"PIENDAMÓ, CAUCA",75,"Piendamó, Centro, Cauca, RAP Pacífico, 190530, Colombia"
"PIJAO, QUINDÍO",9,"Pijao, Cordillerana, Quindío, RAP Eje Cafetero, 632060, Colombia"
"PIJIÑO DEL CARMEN, MAGDALENA",5,"Pijiño del Carmen, Magdalena, RAP Caribe, Colombia"
"PINCHOTE, SANTANDER",5,"Pinchote, Guanentá, Santander, RAP Gran Santander, Colombia"
"PINILLOS, BOLÍVAR",5,"Pinillos, Mojana, Bolívar, RAP Caribe, Colombia"
"PIOJÓ, ATLÁNTICO",2,"Piojó, Atlántico, RAP Caribe, Colombia"
"PITAL, HUILA",16,"Pital, Centro, Huila, RAP (Especial) Central, Colombia"
"PITALITO, HUILA",390,"Pitalito, Sur, Huila, RAP (Especial) Central, 417030, Colombia"
"PIVIJAY, MAGDALENA",33,"Pivijay, Magdalena, RAP Caribe, 477050, Colombia"
"PLANADAS, TOLIMA",23,"Planadas, Sur, Tolima, RAP (Especial) Central, Colombia"
"PLANETA RICA, CÓRDOBA",116,"Planeta Rica, San Jorge, Córdoba, RAP Caribe, Colombia"
"PLATO, MAGDALENA",67,"Plato, Magdalena, RAP Caribe, Colombia"
"POLICARPA, NARIÑO",8,"Policarpa, La Cordillera, Nariño, RAP Pacífico, Colombia"
"POLONUEVO, ATLÁNTICO",19,"Polonuevo, Atlántico, RAP Caribe, Colombia"
"PONEDERA, ATLÁNTICO",7,"Ponedera, Atlántico, RAP Caribe, Colombia"
"POPAYÁN, CAUCA",2331,"Popayán, Centro, Cauca, RAP Pacífico, Colombia"
"PORE, CASANARE",22,"Pore, Casanare, RAP Llanos, 852050, Colombia"
"POTOSÍ, NARIÑO",7,"Potosí, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"PRADERA, VALLE DEL CAUCA",88,"Pradera, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"PRADO, TOLIMA",10,"Prado, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"PROVIDENCIA, ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",14,"Isla de Providencia, Rocky Point, Archipiélago de San Andrés, Providencia y Santa Catalina, Colombia"
"PROVIDENCIA, NARIÑO",1,"Providencia, Los Abades, Nariño, RAP Pacífico, Colombia"
"PUEBLO BELLO, CESAR",3,"Pueblo Bello, Cesar, RAP Caribe, Colombia"
"PUEBLO NUEVO, CÓRDOBA",15,"Pueblo Nuevo, pueblo nuevo, San Jorge, Córdoba, RAP Caribe, Colombia"
"PUEBLO RICO, RISARALDA",18,"Pueblo Rico, Vertiente Pacífico, Risaralda, RAP Eje Cafetero, Colombia"
"PUEBLORRICO, ANTIOQUIA",7,"Pueblorrico, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"PUEBLOVIEJO, MAGDALENA",15,"Puebloviejo, Magdalena, RAP Caribe, Colombia"
"PUENTE NACIONAL, SANTANDER",45,"Puente Nacional, Vélez, Santander, RAP Gran Santander, Colombia"
"PUERRES, NARIÑO",11,"Puerres, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"PUERTO ASÍS, PUTUMAYO",129,"Puerto Asís, Putumayo, RAP Amazonía, Colombia"
"PUERTO BERRÍO, ANTIOQUIA",64,"Puerto Berrío, Magdalena Medio, Antioquia, RAP del Agua y la Montaña, 053420, Colombia"
"PUERTO BOYACÁ, BOYACA",90,"Puerto Boyacá, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"PUERTO CAICEDO, PUTUMAYO",5,"Puerto Caicedo, Putumayo, RAP Amazonía, Colombia"
"PUERTO CARREÑO, VICHADA",24,"Puerto Carreño, Vichada, RAP Llanos, Colombia"
"PUERTO COLOMBIA, ATLÁNTICO",184,"Puerto Colombia, Atlántico, RAP Caribe, 081001, Colombia"
"PUERTO CONCORDIA, META",4,"Puerto Concordia, Ariari, Meta, RAP (Especial) Central, Colombia"
"PUERTO ESCONDIDO, CÓRDOBA",9,"Puerto Escondido, Costanera, Córdoba, RAP Caribe, Colombia"
"PUERTO GAITÁN, META",94,"Puerto Gaitán, Rio Meta, Meta, RAP (Especial) Central, 502001, Colombia"
"PUERTO GUZMÁN, PUTUMAYO",4,"Puerto Guzmán, Putumayo, RAP Amazonía, Colombia"
"PUERTO LIBERTADOR, CÓRDOBA",21,"Puerto Libertador, San Jorge, Córdoba, RAP Caribe, Colombia"
"PUERTO LLERAS, META",10,"Puerto Lleras, Ariari, Meta, RAP (Especial) Central, Colombia"
"PUERTO LÓPEZ, META",71,"Puerto López, Rio Meta, Meta, RAP (Especial) Central, Colombia"
"PUERTO NARE, ANTIOQUIA",10,"Puerto Nare, Magdalena Medio, Antioquia, RAP del Agua y la Montaña, Colombia"
"PUERTO NARIÑO, AMAZONAS",1,"Puerto Nariño, Amazonas, RAP Amazonía, Colombia"
"PUERTO PARRA, SANTANDER",4,"Puerto Parra, Yariguíes, Santander, RAP Gran Santander, Colombia"
"PUERTO RICO, CAQUETÁ",19,"Puerto Rico, Caquetá, RAP Amazonía, Colombia"
"PUERTO RICO, META",10,"Puerto Rico, Ariari, Meta, RAP (Especial) Central, Colombia"
"PUERTO RONDÓN, ARAUCA",10,"Puerto Rondón, Arauca, RAP Llanos, Colombia"
"PUERTO SALGAR, CUNDINAMARCA",38,"Puerto Salgar, Bajo Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
"PUERTO SANTANDER, NORTE DE SANTANDER",10,"Puerto Santander, Oriental, Norte de Santander, RAP Gran Santander, Colombia"
"PUERTO TEJADA, CAUCA",162,"Puerto Tejada, Norte, Cauca, RAP Pacífico, Colombia"
"PUERTO TRIUNFO, ANTIOQUIA",24,"Puerto Triunfo, Magdalena Medio, Antioquia, RAP del Agua y la Montaña, Colombia"
"PUERTO WILCHES, SANTANDER",29,"Puerto Wilches, Yariguíes, Santander, RAP Gran Santander, Colombia"
"PULÍ, CUNDINAMARCA",1,"Pulí, Magdalena Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"PUPIALES, NARIÑO",13,"Pupiales, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"PURACÉ, CAUCA",4,"Puracé, Centro, Cauca, RAP Pacífico, Colombia"
"PURIFICACIÓN, TOLIMA",66,"Purificación, Suroriente, Tolima, RAP (Especial) Central, Colombia"
"PURÍSIMA, CÓRDOBA",15,"Purísima, Bajo Sínú, Córdoba, RAP Caribe, Colombia"
"PÁCORA, CALDAS",17,"Pácora, Norte, Caldas, RAP del Agua y la Montaña, 172040, Colombia"
"PÁEZ, BOYACA",3,"Páez, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"PÁRAMO, SANTANDER",7,"Páramo, Guanentá, Santander, RAP Gran Santander, Colombia"
"QUEBRADANEGRA, CUNDINAMARCA",2,"Quebradanegra, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"QUETAME, CUNDINAMARCA",14,"Quetame, Oriente, RAP (Especial) Central, Colombia"
"QUIBDO, CHOCÓ",798,"Quibdó, Atrato, Chocó, RAP Pacífico, Colombia"
"QUIMBAYA, QUINDÍO",74,"Quimbaya, Valle, Quindío, RAP Eje Cafetero, Colombia"
"QUINCHÍA, RISARALDA",28,"Quinchía, Vertiente Occidental, Risaralda, RAP Eje Cafetero, Colombia"
"QUIPILE, CUNDINAMARCA",7,"Quipile, Tequendama, RAP (Especial) Central, Colombia"
"QUÍPAMA, BOYACA",2,"Quípama, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"RAGONVALIA, NORTE DE SANTANDER",5,"Ragonvalia, Suroriente, Norte de Santander, RAP Gran Santander, Colombia"
"RAMIRIQUÍ, BOYACA",21,"Ramiriquí, Márquez, Boyacá, RAP (Especial) Central, Colombia"
"REGIDOR, BOLÍVAR",2,"Regidor, Bolívar, RAP Caribe, Colombia"
"REMEDIOS, ANTIOQUIA",27,"Remedios, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"REMOLINO, MAGDALENA",1,"Remolino, Magdalena, RAP Caribe, Colombia"
"REPELÓN, ATLÁNTICO",11,"Repelón, Atlántico, RAP Caribe, Colombia"
"RESTREPO, META",82,"Restrepo, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"RESTREPO, VALLE DEL CAUCA",18,"Restrepo, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"RETIRO, ANTIOQUIA",90,"El Retiro, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia"
"RICAURTE, CUNDINAMARCA",86,"Ricaurte, Alto Magdalena, RAP (Especial) Central, Colombia"
"RICAURTE, NARIÑO",23,"Ricaurte, Pie de Monte Costero, Nariño, RAP Pacífico, Colombia"
"RIOBLANCO, TOLIMA",21,"Rioblanco, Sur, Tolima, RAP (Especial) Central, Colombia"
"RIOFRÍO, VALLE DEL CAUCA",24,"Riofrío, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"RIOHACHA, LA GUAJIRA",502,"Riohacha, La Guajira, RAP Caribe, Colombia"
"RIONEGRO, ANTIOQUIA",947,"Rionegro, Oriente, Antioquia, RAP del Agua y la Montaña, 054040, Colombia"
"RIONEGRO, SANTANDER",22,"Rionegro, Metropolitana, Santander, RAP Gran Santander, Colombia"
"RIOSUCIO, CALDAS",62,"Riosucio, Alto Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"RIOSUCIO, CHOCÓ",26,"Belén de Bajirá, Darién, Chocó, RAP Pacífico, Colombia"
"RISARALDA, CALDAS",8,"Risaralda, Bajo Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"RIVERA, HUILA",39,"Rivera, Norte, Huila, RAP (Especial) Central, 413001, Colombia"
"ROBERTO PAYÁN, NARIÑO",3,"Roberto Payán (San José), Telembí, Nariño, RAP Pacífico, Colombia"
"ROLDANILLO, VALLE DEL CAUCA",81,"Roldanillo, Norte, Valle del Cauca, RAP Pacífico, 761550, Colombia"
"RONCESVALLES, TOLIMA",6,"Roncesvalles, Sur, Tolima, RAP (Especial) Central, Colombia"
"RONDÓN, BOYACA",3,"Rondón, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"ROSAS, CAUCA",15,"Rosas, Macizo, Cauca, RAP Pacífico, Colombia"
"ROVIRA, TOLIMA",25,"Rovira, Centro, Tolima, RAP (Especial) Central, Colombia"
"RÁQUIRA, BOYACA",2,"Ráquira, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"RÍO DE ORO, CESAR",5,"Río de Oro, Cesar, RAP Caribe, Colombia"
"RÍO QUITO, CHOCÓ",3,"Paimadó, Atrato, Chocó, RAP Pacífico, Colombia"
"RÍO VIEJO, BOLÍVAR",10,"Río Viejo, Bolívar, RAP Caribe, Colombia"
"SABANA DE TORRES, SANTANDER",43,"Sabana de Torres, Yariguíes, Santander, RAP Gran Santander, Colombia"
"SABANAGRANDE, ATLÁNTICO",67,"Sabanagrande, Atlántico, RAP Caribe, Colombia"
"SABANALARGA, ANTIOQUIA",5,"Sabanalarga, Occidente, Antioquia, RAP del Agua y la Montaña, Colombia"
"SABANALARGA, ATLÁNTICO",75,"Sabanalarga, Atlántico, RAP Caribe, Colombia"
"SABANALARGA, CASANARE",10,"Sabanalarga, Casanare, RAP Llanos, Colombia"
"SABANAS DE SAN ANGEL, MAGDALENA",10,"Sabanas de San Ángel, Magdalena, RAP Caribe, Colombia"
"SABANETA, ANTIOQUIA",820,"Sabaneta, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 055450, Colombia"
"SABOYÁ, BOYACA",9,"Saboyá, Occidente, Boyacá, RAP (Especial) Central, 154601, Colombia"
"SAHAGÚN, CÓRDOBA",186,"Sahagún, Sabanas, Córdoba, RAP Caribe, Colombia"
"SALADOBLANCO, HUILA",21,"Saladoblanco, Sur, Huila, RAP (Especial) Central, Colombia"
