ubicacion,TOTAL_PROCESOS,coordenadas
"CHIMA, SANTANDER",4,"Chima, Comunera, Santander, RAP Gran Santander, Colombia"
"CHIMICHAGUA, CESAR",9,"Chimichagua, Cesar, RAP Caribe, Colombia"
"CHIMÁ, CÓRDOBA",7,"Chimá, Bajo Sínú, Córdoba, RAP Caribe, Colombia"
"CHINAVITA, BOYACA",3,"Chinavita, Neira, Boyacá, RAP (Especial) Central, Colombia"
"CHINCHINÁ, CALDAS",98,"Chinchiná, Centrosur, Caldas, RAP del Agua y la Montaña, 176020, Colombia"
"CHINÁCOTA, NORTE DE SANTANDER",41,"Chinácota, Suroriente, Norte de Santander, RAP Gran Santander, Colombia"
"CHINÚ, CÓRDOBA",53,"Chinú, Sabanas, Córdoba, RAP Caribe, Colombia"
"CHIPAQUE, CUNDINAMARCA",38,"Chipaque, Oriente, Cundinamarca, RAP (Especial) Central, Colombia"
"CHIPATÁ, SANTANDER",4,"Chipatá, Vélez, Santander, RAP Gran Santander, Colombia"
"CHIQUINQUIRÁ, BOYACA",193,"Chiquinquirá, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"CHIRIGUANÁ, CESAR",46,"Chiriguaná, Cesar, RAP Caribe, Colombia"
"CHISCAS, BOYACA",8,"Chiscas, Gutiérrez, Boyacá, RAP (Especial) Central, Colombia"
"CHITA, BOYACA",6,"Chita, Valderrama, Boyacá, RAP (Especial) Central, Colombia"
"CHITAGÁ, NORTE DE SANTANDER",10,"Chitagá, Suroccidente, Norte de Santander, RAP Gran Santander, Colombia"
"CHITARAQUE, BOYACA",9,"Chitaraque, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"CHIVATÁ, BOYACA",6,"Chivatá, Centro, Boyacá, RAP (Especial) Central, Colombia"
"CHIVOR, BOYACA",4,"Chivor, Oriente, Boyacá, RAP (Especial) Central, Colombia"
"CHOACHÍ, CUNDINAMARCA",42,"Choachí, Oriente, Cundinamarca, RAP (Especial) Central, 251620, Colombia"
